Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
235796,189954,255,2011-08-08 10:00:00,2011-08-08 11:29:00,2011-08-13 10:00:00,2011-08-16 10:22:00,1,72,1,8 August,Jaap Saayman,Zambia Sugar
235430,197039,219,2011-08-08 11:00:00,2011-08-08 11:25:00,2011-08-10 11:00:00,2011-08-10 06:43:00,0,-4,93,8 August,Jacques Maartens,Monteagle Africa Limited
235792,192396,27,2011-08-08 10:00:00,2011-08-08 11:45:00,2011-08-10 07:00:00,2011-08-09 12:10:00,2,-17,1,8 August,Devon Bezuidenhout,Kempston Logistics East London
235798,196296,55,2011-08-08 13:00:00,2011-08-08 12:27:00,2011-08-09 11:00:00,2011-08-09 21:10:00,1,10,2,8 August,Jacques Redgard,Omnia Fertiliser
235793,192308,241,2011-08-08 11:00:00,2011-08-08 09:31:00,2011-08-10 08:00:00,2011-08-09 11:00:00,-1,-21,0,8 August,Jacques Maartens,Kempston Logistics East London
235781,187040,14,2011-08-08 10:00:00,2011-08-08 10:10:00,2011-08-10 07:00:00,2011-08-09 16:30:00,0,-13,1,8 August,Devon Bezuidenhout,Kodav
235782,197179,226,2011-08-08 11:00:00,2011-08-08 10:40:00,2011-08-10 08:00:00,2011-08-10 06:45:00,0,-1,0,8 August,Devon Bezuidenhout,Kodav
235783,184335,239,2011-08-08 12:00:00,2011-08-08 10:30:00,2011-08-10 08:00:00,2011-08-10 08:30:00,0,1,1,8 August,Devon Bezuidenhout,Kodav
235754,196306,229,2011-08-08 11:00:00,2011-08-08 11:29:00,2011-08-10 08:00:00,2011-08-10 06:15:00,0,0,2,8 August,Devon Bezuidenhout,Monteagle Africa Limited
235588,197074,23,2011-08-08 11:00:00,2011-08-08 11:05:00,2011-08-10 08:00:00,2011-08-08 17:15:00,0,-37,67,8 August,Jacques Maartens,Hulamin Ext (Midrand)
235777,184114,233,2011-08-08 12:00:00,2011-08-08 11:00:00,2011-08-10 08:00:00,2011-08-10 05:45:00,-1,-2,1,8 August,Jacques Maartens,Epol Feeds - Pretoria West
235584,198166,220,2011-08-08 10:00:00,2011-08-08 10:52:00,2011-08-10 08:00:00,2011-08-10 05:40:00,1,-2,66,8 August,Devon Bezuidenhout,Pride Milling - Nigel
235803,187235,99,2011-08-08 15:00:00,2011-08-08 15:09:00,2011-08-10 08:00:00,2011-08-10 07:14:00,0,1,5,8 August,Jacques Maartens,Pride Milling - Nigel
235805,187905,49,2011-08-08 13:00:00,2011-08-08 08:50:00,2011-08-15 12:00:00,2011-08-08 15:00:00,-4,-165,3,8 August,Jacques Redgard,Logisticor (PTY) Ltd
235787,191683,12,2011-08-08 12:00:00,2011-08-08 13:21:00,2011-08-10 08:00:00,2011-08-10 09:50:00,1,2,1,8 August,Devon Bezuidenhout,Canter Transport
